Name,Drop,Up,Profit
MMM,0.02,0.019,159.60873209344223
AXP,0.022,0.018,431.0390306815544
AAPL,0.021,0.025,387.12520943073423
BA,0.039,0.01,879.6234979356802
CAT,0.021,0.024,541.3548148399252
CVX,0.039,0.023,266.12950341446833
CSCO,0.03,0.029,116.88512517269535
KO,0.025,0.012,76.59532462612535
DOW,0.022,0.01,120.53611010034824
GS,0.021,0.016,603.2370813680027
HD,0.034,0.018,746.7355572014874
HON,0.026,0.015,548.2431350431007
IBM,0.038,0.01,237.5902417319071
INTC,0.049,0.014,183.16596005911487
JNJ,0.029,0.01,333.0816294807863
JPM,0.02,0.024,370.6133078903507
MCD,0.025,0.01,507.487378525232
MRK,0.04,0.014,211.83895734901358
MSFT,0.021,0.028,729.6964977804012
NKE,0.028,0.01,460.6894479152721
PFE,0.047,0.017,96.37940536865787
PG,0.021,0.028,309.4023942243484
CRM,0.044,0.01,745.9864598971561
TRV,0.038,0.01,368.79895876006833
UNH,0.028,0.026,1408.6123641789018
VZ,0.036,0.01,122.57151207882609
V,0.02,0.011,658.4049224969973
WMT,0.037,0.029,335.2121691867094
WBA,0.031,0.01,74.63616572824854
DIS,0.03,0.01,466.24389144414863
